Código,Finalidade,O que é,Frentes,Históricos SIGA,Fonte,Cuidados
F13,Carregar cartão pré-pago do colaborador,Crédito da conta ACG transferido para o cartão do Diácono ou da irmã,PIEDADE;VIAGEM,032 TRANSF.VLR; 108 VLR. ATEND. A MAIS C/ CARTÃO,Ofício 004/26; MOP.PIA.01 p.17,O manual recomenda formas de atendimento sem espécie
F14,Devolver à conta ACG o saldo não usado do cartão,Saldo remanescente do cartão devolvido à conta de pagamento,PIEDADE;VIAGEM,032 TRANSF.VLR; 109 VLR. ATEND. A MENOS C/ CARTÃO,Ofício 004/26,Sentido invertido em relação à carga — conferir antes de confirmar
F15,Transferir saldo entre cartões de colaboradores,Saldo movido de um cartão pré-pago para outro,PIEDADE;VIAGEM,107 TRANSF. VALORES ENTRE CARTÕES,Ofício 004/26,Usado em troca de responsável; sentido invertido
F16,Transferir saldo entre contas ACG da PIA,Saldo movido entre as contas de pagamento da mesma PIA,PIEDADE;VIAGEM;MUSICA,032 TRANSF.VLR,Ofício 004/26; Plano de Contas PIA-Coxim (10115; 10120; 10161),
F17,Aplicar saldo sem uso imediato,Sobra de disponibilidade transferida para aplicação financeira,PIEDADE;VIAGEM;MUSICA,002 APLICAÇÃO FINANCEIRA,MAD.TES.01 item 3.6; IT.TES.11; Livro Diário PIA-Coxim,Vedadas aplicações de risco; exige FOR.TES.06 e FOR.TES.07
F18,Resgatar aplicação para honrar compromisso,Resgate da aplicação para recompor a conta movimento,PIEDADE;VIAGEM;MUSICA,031 RESGATE DE APLICAÇÃO,IT.TES.11; Livro Diário PIA-Coxim,Separar capital de rendimento quando possível
F19,Transferir à Administração valores para compra ou serviço,Valor repassado antes para que a Administração faça a compra ou contrate o serviço,PIEDADE,032 TRANSF.VLR; 178 TRANSF. SETORIZAÇÃO,MOP.PIA.01 p.15 e p.27,Aquisição de bens exige deliberação em reunião do ministério de Diáconos
F20,Receber da Administração o ressarcimento de valores,Retorno de valor que a Administração desembolsou por conta da Piedade,PIEDADE,110 VLR P/REEMB.; 032 TRANSF.VLR,CI 11/26,Exige nota fiscal ou recibo da compra feita pela Administração
F21,Suprir a conta ACG de ponto de atendimento agregado,Carga da conta de pagamento de outra PIA da mesma administração para atendimento com cartão,PIEDADE,032 TRANSF.VLR; 178 TRANSF. SETORIZAÇÃO,Ofício 004/26; MOP.PIA.01 p.26,Contas 10116 e 10117 ainda sem movimento
F22,Carregar cartão de colaborador de outro ponto de atendimento,Carga de cartão vinculado a outra PIA da mesma administração,PIEDADE,032 TRANSF.VLR,Ofício 004/26; cadastro de cartões do projeto,O responsável deve corresponder ao cadastro do SIGA na data
F23,Ressarcir envelope de viagem entre administrações,Acerto entre administrações do valor de envelope de viagem pago por uma delas,VIAGEM,110 VLR P/REEMB.; 032 TRANSF.VLR,Definição da Secretaria (set/2026); MOP.PIA.01 p.20,As receitas e despesas de viagens são centralizadas na Regional Administrativa
F24,Remeter à outra administração coletas que lhe cabem,Repasse a outra administração de coletas arrecadadas e destinadas a ela,PIEDADE;VIAGEM;MUSICA,162 TRANSF. REMETIDA - REPARTIÇÃO DAS OFERTAS; 032 TRANSF.VLR; 164 REMESSA EXTERIOR,Definição da Secretaria (set/2026); Plano de Contas (2082; 2083; 2085),Registrar a destinação no Mapa de Coletas antes da remessa; 164 só quando o destino for o exterior
F25,Ressarcir a Administração por compra ou serviço,Devolução à Administração do valor que ela desembolsou pela Piedade ou pelo Departamento dos Diáconos,PIEDADE,110 VLR P/REEMB.; 032 TRANSF.VLR,CI 11/26; definição da Secretaria (set/2026),Exige nota fiscal ou recibo; difere de F19 porque a compra já foi feita
F26,Devolver valores não utilizados na mesa de atendimento,Retorno do numerário que sobrou na mesa ao término da reunião,PIEDADE,014 DEP. BANCÁRIO; 032 TRANSF.VLR,MOP.PIA.01 p.19; definição da Secretaria (set/2026),"Entre departamentos, só nas PIAs que não são sede da administração local"
F27,Desabastecer o caixa de viagens missionárias,Retirada do saldo do caixa de viagens para outro caixa ou para o banco,VIAGEM,014 DEP. BANCÁRIO; 032 TRANSF.VLR,Definição da Secretaria (set/2026); MAD.TES.01 item 3.5,Conferir com o Termo de Verificação do Saldo do Caixa
F28,Desabastecer o caixa do Fundo Musical,Retirada do saldo do caixa do Fundo Musical para outro caixa ou para o banco,MUSICA,014 DEP. BANCÁRIO; 032 TRANSF.VLR,Definição da Secretaria (set/2026); MAD.TES.01 item 3.5,Conferir com o Termo de Verificação do Saldo do Caixa
